Date,mcpc,ancillarytype
4/4/2011 12:00:00 AM,4.19000,Non Spin
4/4/2011 12:00:00 AM,8.30000,Regulation Down
4/4/2011 12:00:00 AM,11.18000,Regulation Up
4/4/2011 12:00:00 AM,10.18000,Responsive Reserve Service
4/4/2011 1:00:00 AM,4.02000,Non Spin
4/4/2011 1:00:00 AM,8.48000,Regulation Down
4/4/2011 1:00:00 AM,13.28000,Regulation Up
4/4/2011 1:00:00 AM,12.28000,Responsive Reserve Service
4/4/2011 2:00:00 AM,3.78000,Non Spin
4/4/2011 2:00:00 AM,10.00000,Regulation Down
4/4/2011 2:00:00 AM,9.58000,Regulation Up
4/4/2011 2:00:00 AM,9.58000,Responsive Reserve Service
4/4/2011 3:00:00 AM,3.74000,Non Spin
4/4/2011 3:00:00 AM,10.27000,Regulation Down
4/4/2011 3:00:00 AM,9.20000,Regulation Up
4/4/2011 3:00:00 AM,9.20000,Responsive Reserve Service
4/4/2011 4:00:00 AM,3.74000,Non Spin
4/4/2011 4:00:00 AM,11.83000,Regulation Down
4/4/2011 4:00:00 AM,10.11000,Regulation Up
4/4/2011 4:00:00 AM,10.11000,Responsive Reserve Service
4/4/2011 5:00:00 AM,3.88000,Non Spin
4/4/2011 5:00:00 AM,20.00000,Regulation Down
4/4/2011 5:00:00 AM,17.70000,Regulation Up
4/4/2011 5:00:00 AM,17.68000,Responsive Reserve Service
4/4/2011 6:00:00 AM,7.22000,Non Spin
4/4/2011 6:00:00 AM,11.83000,Regulation Down
4/4/2011 6:00:00 AM,16.13000,Regulation Up
4/4/2011 6:00:00 AM,11.13000,Responsive Reserve Service
4/4/2011 7:00:00 AM,8.62000,Non Spin
4/4/2011 7:00:00 AM,10.02000,Regulation Down
4/4/2011 7:00:00 AM,14.64000,Regulation Up
4/4/2011 7:00:00 AM,14.32000,Responsive Reserve Service
4/4/2011 8:00:00 AM,8.53000,Non Spin
4/4/2011 8:00:00 AM,13.11000,Regulation Down
4/4/2011 8:00:00 AM,10.53000,Regulation Up
4/4/2011 8:00:00 AM,10.53000,Responsive Reserve Service
4/4/2011 9:00:00 AM,7.00000,Non Spin
4/4/2011 9:00:00 AM,20.00000,Regulation Down
4/4/2011 9:00:00 AM,9.00000,Regulation Up
4/4/2011 9:00:00 AM,9.00000,Responsive Reserve Service
4/4/2011 10:00:00 AM,7.22000,Non Spin
4/4/2011 10:00:00 AM,5.91000,Regulation Down
4/4/2011 10:00:00 AM,7.81000,Regulation Up
4/4/2011 10:00:00 AM,9.22000,Responsive Reserve Service
4/4/2011 11:00:00 AM,10.00000,Non Spin
4/4/2011 11:00:00 AM,5.15000,Regulation Down
4/4/2011 11:00:00 AM,10.37000,Regulation Up
4/4/2011 11:00:00 AM,12.00000,Responsive Reserve Service
4/4/2011 12:00:00 PM,9.28000,Non Spin
4/4/2011 12:00:00 PM,5.00000,Regulation Down
4/4/2011 12:00:00 PM,8.43000,Regulation Up
4/4/2011 12:00:00 PM,10.28000,Responsive Reserve Service
4/4/2011 1:00:00 PM,15.21000,Non Spin
4/4/2011 1:00:00 PM,5.00000,Regulation Down
4/4/2011 1:00:00 PM,19.21000,Regulation Up
4/4/2011 1:00:00 PM,19.21000,Responsive Reserve Service
4/4/2011 2:00:00 PM,8.62000,Non Spin
4/4/2011 2:00:00 PM,3.00000,Regulation Down
4/4/2011 2:00:00 PM,15.86000,Regulation Up
4/4/2011 2:00:00 PM,24.80000,Responsive Reserve Service
4/4/2011 3:00:00 PM,8.62000,Non Spin
4/4/2011 3:00:00 PM,1.82000,Regulation Down
4/4/2011 3:00:00 PM,23.51000,Regulation Up
4/4/2011 3:00:00 PM,26.24000,Responsive Reserve Service
4/4/2011 4:00:00 PM,11.62000,Non Spin
4/4/2011 4:00:00 PM,3.00000,Regulation Down
4/4/2011 4:00:00 PM,33.57000,Regulation Up
4/4/2011 4:00:00 PM,33.57000,Responsive Reserve Service
4/4/2011 5:00:00 PM,11.62000,Non Spin
4/4/2011 5:00:00 PM,5.00000,Regulation Down
4/4/2011 5:00:00 PM,12.88000,Regulation Up
4/4/2011 5:00:00 PM,21.95000,Responsive Reserve Service
4/4/2011 6:00:00 PM,15.11000,Non Spin
4/4/2011 6:00:00 PM,5.00000,Regulation Down
4/4/2011 6:00:00 PM,31.25000,Regulation Up
4/4/2011 6:00:00 PM,25.98000,Responsive Reserve Service
4/4/2011 7:00:00 PM,7.22000,Non Spin
4/4/2011 7:00:00 PM,5.00000,Regulation Down
4/4/2011 7:00:00 PM,16.63000,Regulation Up
4/4/2011 7:00:00 PM,15.63000,Responsive Reserve Service
4/4/2011 8:00:00 PM,7.22000,Non Spin
4/4/2011 8:00:00 PM,5.00000,Regulation Down
4/4/2011 8:00:00 PM,22.03000,Regulation Up
4/4/2011 8:00:00 PM,18.67000,Responsive Reserve Service
4/4/2011 9:00:00 PM,6.02000,Non Spin
4/4/2011 9:00:00 PM,5.89000,Regulation Down
4/4/2011 9:00:00 PM,6.05000,Regulation Up
4/4/2011 9:00:00 PM,10.00000,Responsive Reserve Service
4/4/2011 10:00:00 PM,3.71000,Non Spin
4/4/2011 10:00:00 PM,7.60000,Regulation Down
4/4/2011 10:00:00 PM,15.29000,Regulation Up
4/4/2011 10:00:00 PM,13.29000,Responsive Reserve Service
4/4/2011 11:00:00 PM,6.02000,Non Spin
4/4/2011 11:00:00 PM,9.71000,Regulation Down
4/4/2011 11:00:00 PM,16.68000,Regulation Up
4/4/2011 11:00:00 PM,15.68000,Responsive Reserve Service
4/5/2011 12:00:00 AM,4.65000,Non Spin
4/5/2011 12:00:00 AM,8.12000,Regulation Down
4/5/2011 12:00:00 AM,11.28000,Regulation Up
4/5/2011 12:00:00 AM,11.28000,Responsive Reserve Service
4/5/2011 1:00:00 AM,4.00000,Non Spin
4/5/2011 1:00:00 AM,7.87000,Regulation Down
4/5/2011 1:00:00 AM,8.87000,Regulation Up
4/5/2011 1:00:00 AM,8.56000,Responsive Reserve Service
4/5/2011 2:00:00 AM,3.36000,Non Spin
4/5/2011 2:00:00 AM,8.00000,Regulation Down
4/5/2011 2:00:00 AM,6.89000,Regulation Up
4/5/2011 2:00:00 AM,6.89000,Responsive Reserve Service
4/5/2011 3:00:00 AM,3.34000,Non Spin
4/5/2011 3:00:00 AM,8.00000,Regulation Down
4/5/2011 3:00:00 AM,6.87000,Regulation Up
4/5/2011 3:00:00 AM,6.87000,Responsive Reserve Service
4/5/2011 4:00:00 AM,3.45000,Non Spin
4/5/2011 4:00:00 AM,8.00000,Regulation Down
4/5/2011 4:00:00 AM,8.00000,Regulation Up
4/5/2011 4:00:00 AM,8.00000,Responsive Reserve Service
4/5/2011 5:00:00 AM,3.67000,Non Spin
4/5/2011 5:00:00 AM,10.29000,Regulation Down
4/5/2011 5:00:00 AM,9.37000,Regulation Up
4/5/2011 5:00:00 AM,8.66000,Responsive Reserve Service
4/5/2011 6:00:00 AM,7.22000,Non Spin
4/5/2011 6:00:00 AM,9.54000,Regulation Down
4/5/2011 6:00:00 AM,11.36000,Regulation Up
4/5/2011 6:00:00 AM,9.22000,Responsive Reserve Service
4/5/2011 7:00:00 AM,7.91000,Non Spin
4/5/2011 7:00:00 AM,10.00000,Regulation Down
4/5/2011 7:00:00 AM,9.91000,Regulation Up
4/5/2011 7:00:00 AM,9.91000,Responsive Reserve Service
4/5/2011 8:00:00 AM,6.12000,Non Spin
4/5/2011 8:00:00 AM,10.00000,Regulation Down
