time_local,time_utc,total_charging,total_discharging,net_output
2024-01-01T00:00:00-06:00,2024-01-01 06:00:00+00:00,-34.447,13.854,-20.593
2024-01-01T00:05:00-06:00,2024-01-01 06:05:00+00:00,-142.238,41.54,-100.698
2024-01-01T00:10:00-06:00,2024-01-01 06:10:00+00:00,-242.668,15.229,-227.438
2024-01-01T00:15:00-06:00,2024-01-01 06:15:00+00:00,-271.211,12.088,-259.122
2024-01-01T00:20:00-06:00,2024-01-01 06:20:00+00:00,-294.958,9.225,-285.733
2024-01-01T00:25:00-06:00,2024-01-01 06:25:00+00:00,-166.538,84.651,-81.887
2024-01-01T00:30:00-06:00,2024-01-01 06:30:00+00:00,-110.645,50.162,-60.483
2024-01-01T00:35:00-06:00,2024-01-01 06:35:00+00:00,-109.868,7.894,-101.974
2024-01-01T00:40:00-06:00,2024-01-01 06:40:00+00:00,-76.341,14.465,-61.876
2024-01-01T00:45:00-06:00,2024-01-01 06:45:00+00:00,-66.541,28.969,-37.573
2024-01-01T00:50:00-06:00,2024-01-01 06:50:00+00:00,-131.728,1.295,-130.432
2024-01-01T00:55:00-06:00,2024-01-01 06:55:00+00:00,-88.671,8.375,-80.295
2024-01-01T01:00:00-06:00,2024-01-01 07:00:00+00:00,-98.397,14.294,-84.103
2024-01-01T01:05:00-06:00,2024-01-01 07:05:00+00:00,-137.879,5.04,-132.84
2024-01-01T01:10:00-06:00,2024-01-01 07:10:00+00:00,-73.466,36.774,-36.692
2024-01-01T01:15:00-06:00,2024-01-01 07:15:00+00:00,-54.965,73.542,18.577
2024-01-01T01:20:00-06:00,2024-01-01 07:20:00+00:00,-96.354,68.152,-28.202
2024-01-01T01:25:00-06:00,2024-01-01 07:25:00+00:00,-227.866,16.017,-211.849
2024-01-01T01:30:00-06:00,2024-01-01 07:30:00+00:00,-271.992,13.74,-258.252
2024-01-01T01:35:00-06:00,2024-01-01 07:35:00+00:00,-253.432,11.942,-241.49
2024-01-01T01:40:00-06:00,2024-01-01 07:40:00+00:00,-212.748,15.124,-197.624
2024-01-01T01:45:00-06:00,2024-01-01 07:45:00+00:00,-202.687,24.431,-178.257
2024-01-01T01:50:00-06:00,2024-01-01 07:50:00+00:00,-195.112,17.73,-177.381
2024-01-01T01:55:00-06:00,2024-01-01 07:55:00+00:00,-151.47,49.045,-102.424
2024-01-01T02:00:00-06:00,2024-01-01 08:00:00+00:00,-122.479,40.734,-81.745
2024-01-01T02:05:00-06:00,2024-01-01 08:05:00+00:00,-75.389,3.687,-71.702
2024-01-01T02:10:00-06:00,2024-01-01 08:10:00+00:00,-91.842,6.542,-85.299
2024-01-01T02:15:00-06:00,2024-01-01 08:15:00+00:00,-46.29,14.386,-31.904
2024-01-01T02:20:00-06:00,2024-01-01 08:20:00+00:00,-18.278,54.431,36.153
2024-01-01T02:25:00-06:00,2024-01-01 08:25:00+00:00,-40.93,15.414,-25.516
2024-01-01T02:30:00-06:00,2024-01-01 08:30:00+00:00,-112.26,5.092,-107.169
2024-01-01T02:35:00-06:00,2024-01-01 08:35:00+00:00,-153.378,3.13,-150.247
2024-01-01T02:40:00-06:00,2024-01-01 08:40:00+00:00,-134.126,2.082,-132.044
2024-01-01T02:45:00-06:00,2024-01-01 08:45:00+00:00,-129.451,2.8,-126.651
2024-01-01T02:50:00-06:00,2024-01-01 08:50:00+00:00,-79.12,6.496,-72.624
2024-01-01T02:55:00-06:00,2024-01-01 08:55:00+00:00,-121.044,50.855,-70.189
2024-01-01T03:00:00-06:00,2024-01-01 09:00:00+00:00,-240.565,112.564,-128.0
2024-01-01T03:05:00-06:00,2024-01-01 09:05:00+00:00,-197.749,41.419,-156.33
2024-01-01T03:10:00-06:00,2024-01-01 09:10:00+00:00,-95.698,26.854,-68.845
2024-01-01T03:15:00-06:00,2024-01-01 09:15:00+00:00,-81.369,58.467,-22.902
2024-01-01T03:20:00-06:00,2024-01-01 09:20:00+00:00,-51.427,33.896,-17.531
2024-01-01T03:25:00-06:00,2024-01-01 09:25:00+00:00,-49.933,9.523,-40.41
2024-01-01T03:30:00-06:00,2024-01-01 09:30:00+00:00,-45.152,6.409,-38.742
2024-01-01T03:35:00-06:00,2024-01-01 09:35:00+00:00,-67.866,3.301,-64.565
2024-01-01T03:40:00-06:00,2024-01-01 09:40:00+00:00,-93.838,1.227,-92.611
2024-01-01T03:45:00-06:00,2024-01-01 09:45:00+00:00,-103.017,3.376,-99.641
2024-01-01T03:50:00-06:00,2024-01-01 09:50:00+00:00,-17.768,96.353,78.586
2024-01-01T03:55:00-06:00,2024-01-01 09:55:00+00:00,-23.85,101.742,77.891
2024-01-01T04:00:00-06:00,2024-01-01 10:00:00+00:00,-39.322,40.965,1.643
2024-01-01T04:05:00-06:00,2024-01-01 10:05:00+00:00,-26.354,129.994,103.64
2024-01-01T04:10:00-06:00,2024-01-01 10:10:00+00:00,-36.443,83.211,46.768
2024-01-01T04:15:00-06:00,2024-01-01 10:15:00+00:00,-64.536,26.867,-37.669
2024-01-01T04:20:00-06:00,2024-01-01 10:20:00+00:00,-154.621,1.447,-153.174
