time_local,time_utc,total_charging,total_discharging,net_output
2024-02-01T00:00:00-06:00,2024-02-01 06:00:00+00:00,-194.018,26.589,-167.428
2024-02-01T00:05:00-06:00,2024-02-01 06:05:00+00:00,-170.85,51.714,-119.136
2024-02-01T00:10:00-06:00,2024-02-01 06:10:00+00:00,-54.26,207.211,152.951
2024-02-01T00:15:00-06:00,2024-02-01 06:15:00+00:00,-59.531,361.124,301.593
2024-02-01T00:20:00-06:00,2024-02-01 06:20:00+00:00,-138.71,218.091,79.381
2024-02-01T00:25:00-06:00,2024-02-01 06:25:00+00:00,-232.207,106.904,-125.303
2024-02-01T00:30:00-06:00,2024-02-01 06:30:00+00:00,-347.699,56.345,-291.355
2024-02-01T00:35:00-06:00,2024-02-01 06:35:00+00:00,-165.952,60.72,-105.232
2024-02-01T00:40:00-06:00,2024-02-01 06:40:00+00:00,-129.306,147.062,17.756
2024-02-01T00:45:00-06:00,2024-02-01 06:45:00+00:00,-124.852,90.41,-34.442
2024-02-01T00:50:00-06:00,2024-02-01 06:50:00+00:00,-147.139,3.409,-143.73
2024-02-01T00:55:00-06:00,2024-02-01 06:55:00+00:00,-161.542,14.079,-147.463
2024-02-01T01:00:00-06:00,2024-02-01 07:00:00+00:00,-64.312,94.933,30.621
2024-02-01T01:05:00-06:00,2024-02-01 07:05:00+00:00,-218.566,98.363,-120.203
2024-02-01T01:10:00-06:00,2024-02-01 07:10:00+00:00,-192.131,101.513,-90.618
2024-02-01T01:15:00-06:00,2024-02-01 07:15:00+00:00,-50.222,153.699,103.477
2024-02-01T01:20:00-06:00,2024-02-01 07:20:00+00:00,-61.844,239.84,177.995
2024-02-01T01:25:00-06:00,2024-02-01 07:25:00+00:00,-148.532,119.664,-28.868
2024-02-01T01:30:00-06:00,2024-02-01 07:30:00+00:00,-256.224,1.942,-254.282
2024-02-01T01:35:00-06:00,2024-02-01 07:35:00+00:00,-263.616,14.661,-248.955
2024-02-01T01:40:00-06:00,2024-02-01 07:40:00+00:00,-146.775,48.735,-98.04
2024-02-01T01:45:00-06:00,2024-02-01 07:45:00+00:00,-184.522,31.915,-152.607
2024-02-01T01:50:00-06:00,2024-02-01 07:50:00+00:00,-77.481,78.122,0.641
2024-02-01T01:55:00-06:00,2024-02-01 07:55:00+00:00,-70.218,159.394,89.176
2024-02-01T02:00:00-06:00,2024-02-01 08:00:00+00:00,-56.789,103.472,46.683
2024-02-01T02:05:00-06:00,2024-02-01 08:05:00+00:00,-150.917,10.481,-140.436
2024-02-01T02:10:00-06:00,2024-02-01 08:10:00+00:00,-323.494,1.172,-322.322
2024-02-01T02:15:00-06:00,2024-02-01 08:15:00+00:00,-288.541,0.885,-287.656
2024-02-01T02:20:00-06:00,2024-02-01 08:20:00+00:00,-237.224,2.037,-235.187
2024-02-01T02:25:00-06:00,2024-02-01 08:25:00+00:00,-153.746,17.791,-135.956
2024-02-01T02:30:00-06:00,2024-02-01 08:30:00+00:00,-94.947,161.168,66.221
2024-02-01T02:35:00-06:00,2024-02-01 08:35:00+00:00,-87.464,216.195,128.73
2024-02-01T02:40:00-06:00,2024-02-01 08:40:00+00:00,-125.753,34.62,-91.132
2024-02-01T02:45:00-06:00,2024-02-01 08:45:00+00:00,-108.074,8.381,-99.693
2024-02-01T02:50:00-06:00,2024-02-01 08:50:00+00:00,-62.769,35.357,-27.411
2024-02-01T02:55:00-06:00,2024-02-01 08:55:00+00:00,-74.361,34.401,-39.96
2024-02-01T03:00:00-06:00,2024-02-01 09:00:00+00:00,-56.308,141.416,85.108
2024-02-01T03:05:00-06:00,2024-02-01 09:05:00+00:00,-49.81,220.397,170.587
2024-02-01T03:10:00-06:00,2024-02-01 09:10:00+00:00,-165.787,30.291,-135.496
2024-02-01T03:15:00-06:00,2024-02-01 09:15:00+00:00,-310.775,1.894,-308.881
2024-02-01T03:20:00-06:00,2024-02-01 09:20:00+00:00,-171.468,10.487,-160.981
2024-02-01T03:25:00-06:00,2024-02-01 09:25:00+00:00,-41.249,147.049,105.8
2024-02-01T03:30:00-06:00,2024-02-01 09:30:00+00:00,-52.97,139.242,86.272
2024-02-01T03:35:00-06:00,2024-02-01 09:35:00+00:00,-154.804,5.052,-149.752
2024-02-01T03:40:00-06:00,2024-02-01 09:40:00+00:00,-204.118,3.004,-201.115
2024-02-01T03:45:00-06:00,2024-02-01 09:45:00+00:00,-198.396,3.436,-194.961
2024-02-01T03:50:00-06:00,2024-02-01 09:50:00+00:00,-158.839,2.194,-156.644
2024-02-01T03:55:00-06:00,2024-02-01 09:55:00+00:00,-89.521,83.675,-5.846
2024-02-01T04:00:00-06:00,2024-02-01 10:00:00+00:00,-38.868,330.403,291.535
2024-02-01T04:05:00-06:00,2024-02-01 10:05:00+00:00,-27.261,350.222,322.961
2024-02-01T04:10:00-06:00,2024-02-01 10:10:00+00:00,-73.443,87.355,13.912
2024-02-01T04:15:00-06:00,2024-02-01 10:15:00+00:00,-266.647,2.802,-263.844
2024-02-01T04:20:00-06:00,2024-02-01 10:20:00+00:00,-140.956,16.36,-124.596
2024-02-01T04:25:00-06:00,2024-02-01 10:25:00+00:00,-27.334,90.998,63.664
2024-02-01T04:30:00-06:00,2024-02-01 10:30:00+00:00,-31.836,47.224,15.389
2024-02-01T04:35:00-06:00,2024-02-01 10:35:00+00:00,-40.407,21.728,-18.678
2024-02-01T04:40:00-06:00,2024-02-01 10:40:00+00:00,-57.475,14.626,-42.849
2024-02-01T04:45:00-06:00,2024-02-01 10:45:00+00:00,-182.89,1.432,-181.458
2024-02-01T04:50:00-06:00,2024-02-01 10:50:00+00:00,-213.114,2.254,-210.86
2024-02-01T04:55:00-06:00,2024-02-01 10:55:00+00:00,-108.072,18.642,-89.431
2024-02-01T05:00:00-06:00,2024-02-01 11:00:00+00:00,-23.435,123.951,100.516
2024-02-01T05:05:00-06:00,2024-02-01 11:05:00+00:00,-22.395,239.375,216.979
2024-02-01T05:10:00-06:00,2024-02-01 11:10:00+00:00,-67.072,70.786,3.714
2024-02-01T05:15:00-06:00,2024-02-01 11:15:00+00:00,-194.169,7.637,-186.532
2024-02-01T05:20:00-06:00,2024-02-01 11:20:00+00:00,-193.332,6.165,-187.166
2024-02-01T05:25:00-06:00,2024-02-01 11:25:00+00:00,-43.788,71.996,28.207
2024-02-01T05:30:00-06:00,2024-02-01 11:30:00+00:00,-23.937,186.211,162.274
2024-02-01T05:35:00-06:00,2024-02-01 11:35:00+00:00,-25.059,150.482,125.423
2024-02-01T05:40:00-06:00,2024-02-01 11:40:00+00:00,-52.892,58.717,5.826
2024-02-01T05:45:00-06:00,2024-02-01 11:45:00+00:00,-198.674,32.006,-166.668
2024-02-01T05:50:00-06:00,2024-02-01 11:50:00+00:00,-225.822,31.557,-194.265
2024-02-01T05:55:00-06:00,2024-02-01 11:55:00+00:00,-30.248,157.3,127.053
