time_local,time_utc,total_charging,total_discharging,net_output
2024-04-01T00:00:00-05:00,2024-04-01 05:00:00+00:00,-191.675,27.766,-163.908
2024-04-01T00:05:00-05:00,2024-04-01 05:05:00+00:00,-253.423,27.916,-225.506
2024-04-01T00:10:00-05:00,2024-04-01 05:10:00+00:00,-192.676,49.593,-143.083
2024-04-01T00:15:00-05:00,2024-04-01 05:15:00+00:00,-180.519,59.041,-121.478
2024-04-01T00:20:00-05:00,2024-04-01 05:20:00+00:00,-199.002,76.827,-122.175
2024-04-01T00:25:00-05:00,2024-04-01 05:25:00+00:00,-126.754,124.895,-1.858
2024-04-01T00:30:00-05:00,2024-04-01 05:30:00+00:00,-171.396,63.213,-108.184
2024-04-01T00:35:00-05:00,2024-04-01 05:35:00+00:00,-281.875,16.533,-265.342
2024-04-01T00:40:00-05:00,2024-04-01 05:40:00+00:00,-292.852,20.271,-272.581
2024-04-01T00:45:00-05:00,2024-04-01 05:45:00+00:00,-352.349,26.878,-325.471
2024-04-01T00:50:00-05:00,2024-04-01 05:50:00+00:00,-292.942,50.415,-242.527
2024-04-01T00:55:00-05:00,2024-04-01 05:55:00+00:00,-272.919,97.285,-175.633
2024-04-01T01:00:00-05:00,2024-04-01 06:00:00+00:00,-282.929,159.909,-123.021
2024-04-01T01:05:00-05:00,2024-04-01 06:05:00+00:00,-264.411,133.79,-130.62
2024-04-01T01:10:00-05:00,2024-04-01 06:10:00+00:00,-355.82,18.454,-337.366
2024-04-01T01:15:00-05:00,2024-04-01 06:15:00+00:00,-461.154,11.108,-450.046
2024-04-01T01:20:00-05:00,2024-04-01 06:20:00+00:00,-419.808,16.215,-403.593
2024-04-01T01:25:00-05:00,2024-04-01 06:25:00+00:00,-305.917,29.328,-276.59
2024-04-01T01:30:00-05:00,2024-04-01 06:30:00+00:00,-189.203,113.227,-75.976
2024-04-01T01:35:00-05:00,2024-04-01 06:35:00+00:00,-180.644,193.424,12.78
2024-04-01T01:40:00-05:00,2024-04-01 06:40:00+00:00,-221.342,49.605,-171.737
2024-04-01T01:45:00-05:00,2024-04-01 06:45:00+00:00,-278.318,2.629,-275.69
2024-04-01T01:50:00-05:00,2024-04-01 06:50:00+00:00,-284.852,4.349,-280.503
2024-04-01T01:55:00-05:00,2024-04-01 06:55:00+00:00,-238.44,5.286,-233.154
2024-04-01T02:00:00-05:00,2024-04-01 07:00:00+00:00,-156.016,32.232,-123.784
2024-04-01T02:05:00-05:00,2024-04-01 07:05:00+00:00,-201.214,28.235,-172.979
2024-04-01T02:10:00-05:00,2024-04-01 07:10:00+00:00,-213.145,42.277,-170.868
2024-04-01T02:15:00-05:00,2024-04-01 07:15:00+00:00,-154.014,94.867,-59.147
2024-04-01T02:20:00-05:00,2024-04-01 07:20:00+00:00,-199.878,47.959,-151.919
2024-04-01T02:25:00-05:00,2024-04-01 07:25:00+00:00,-268.565,7.965,-260.6
2024-04-01T02:30:00-05:00,2024-04-01 07:30:00+00:00,-275.214,8.474,-266.74
2024-04-01T02:35:00-05:00,2024-04-01 07:35:00+00:00,-285.559,15.62,-269.94
2024-04-01T02:40:00-05:00,2024-04-01 07:40:00+00:00,-341.032,23.256,-317.775
2024-04-01T02:45:00-05:00,2024-04-01 07:45:00+00:00,-368.84,42.569,-326.272
2024-04-01T02:50:00-05:00,2024-04-01 07:50:00+00:00,-379.16,73.159,-306.002
2024-04-01T02:55:00-05:00,2024-04-01 07:55:00+00:00,-330.125,32.848,-297.277
2024-04-01T03:00:00-05:00,2024-04-01 08:00:00+00:00,-285.189,117.826,-167.363
2024-04-01T03:05:00-05:00,2024-04-01 08:05:00+00:00,-176.683,311.536,134.853
2024-04-01T03:10:00-05:00,2024-04-01 08:10:00+00:00,-87.552,218.656,131.104
2024-04-01T03:15:00-05:00,2024-04-01 08:15:00+00:00,-168.814,22.584,-146.23
2024-04-01T03:20:00-05:00,2024-04-01 08:20:00+00:00,-284.903,5.7,-279.203
2024-04-01T03:25:00-05:00,2024-04-01 08:25:00+00:00,-258.684,9.178,-249.506
2024-04-01T03:30:00-05:00,2024-04-01 08:30:00+00:00,-183.942,31.817,-152.126
2024-04-01T03:35:00-05:00,2024-04-01 08:35:00+00:00,-126.344,104.317,-22.026
2024-04-01T03:40:00-05:00,2024-04-01 08:40:00+00:00,-101.62,245.409,143.789
2024-04-01T03:45:00-05:00,2024-04-01 08:45:00+00:00,-127.621,211.535,83.914
2024-04-01T03:50:00-05:00,2024-04-01 08:50:00+00:00,-148.097,60.997,-87.1
2024-04-01T03:55:00-05:00,2024-04-01 08:55:00+00:00,-146.989,14.761,-132.228
2024-04-01T04:00:00-05:00,2024-04-01 09:00:00+00:00,-219.826,15.26,-204.567
2024-04-01T04:05:00-05:00,2024-04-01 09:05:00+00:00,-155.2,56.057,-99.143
2024-04-01T04:10:00-05:00,2024-04-01 09:10:00+00:00,-52.065,216.218,164.153
2024-04-01T04:15:00-05:00,2024-04-01 09:15:00+00:00,-53.464,182.116,128.652
2024-04-01T04:20:00-05:00,2024-04-01 09:20:00+00:00,-75.794,71.476,-4.318
2024-04-01T04:25:00-05:00,2024-04-01 09:25:00+00:00,-89.629,68.938,-20.691
2024-04-01T04:30:00-05:00,2024-04-01 09:30:00+00:00,-67.814,110.654,42.84
2024-04-01T04:35:00-05:00,2024-04-01 09:35:00+00:00,-58.236,91.213,32.977
2024-04-01T04:40:00-05:00,2024-04-01 09:40:00+00:00,-98.346,27.747,-70.599
2024-04-01T04:45:00-05:00,2024-04-01 09:45:00+00:00,-78.98,45.688,-33.292
2024-04-01T04:50:00-05:00,2024-04-01 09:50:00+00:00,-68.64,82.901,14.261
2024-04-01T04:55:00-05:00,2024-04-01 09:55:00+00:00,-173.109,15.523,-157.587
2024-04-01T05:00:00-05:00,2024-04-01 10:00:00+00:00,-250.583,1.056,-249.527
2024-04-01T05:05:00-05:00,2024-04-01 10:05:00+00:00,-159.522,23.198,-136.324
2024-04-01T05:10:00-05:00,2024-04-01 10:10:00+00:00,-50.774,154.332,103.559
2024-04-01T05:15:00-05:00,2024-04-01 10:15:00+00:00,-40.66,163.691,123.031
2024-04-01T05:20:00-05:00,2024-04-01 10:20:00+00:00,-22.164,250.364,228.2
2024-04-01T05:25:00-05:00,2024-04-01 10:25:00+00:00,-44.176,164.158,119.982
2024-04-01T05:30:00-05:00,2024-04-01 10:30:00+00:00,-96.31,35.087,-61.223
2024-04-01T05:35:00-05:00,2024-04-01 10:35:00+00:00,-56.525,130.888,74.362
2024-04-01T05:40:00-05:00,2024-04-01 10:40:00+00:00,-29.382,228.532,199.15
2024-04-01T05:45:00-05:00,2024-04-01 10:45:00+00:00,-167.95,36.153,-131.797
2024-04-01T05:50:00-05:00,2024-04-01 10:50:00+00:00,-313.538,5.893,-307.645
2024-04-01T05:55:00-05:00,2024-04-01 10:55:00+00:00,-296.438,10.272,-286.166
2024-04-01T06:00:00-05:00,2024-04-01 11:00:00+00:00,-197.183,16.678,-180.506
2024-04-01T06:05:00-05:00,2024-04-01 11:05:00+00:00,-135.984,89.83,-46.153
2024-04-01T06:10:00-05:00,2024-04-01 11:10:00+00:00,-54.266,141.374,87.108
2024-04-01T06:15:00-05:00,2024-04-01 11:15:00+00:00,-58.361,132.293,73.932
2024-04-01T06:20:00-05:00,2024-04-01 11:20:00+00:00,-68.06,134.256,66.195
2024-04-01T06:25:00-05:00,2024-04-01 11:25:00+00:00,-117.043,113.044,-3.999
2024-04-01T06:30:00-05:00,2024-04-01 11:30:00+00:00,-58.825,132.33,73.506
2024-04-01T06:35:00-05:00,2024-04-01 11:35:00+00:00,-33.568,204.904,171.335
2024-04-01T06:40:00-05:00,2024-04-01 11:40:00+00:00,-27.216,252.381,225.166
2024-04-01T06:45:00-05:00,2024-04-01 11:45:00+00:00,-30.832,280.213,249.382
2024-04-01T06:50:00-05:00,2024-04-01 11:50:00+00:00,-56.682,198.183,141.501
2024-04-01T06:55:00-05:00,2024-04-01 11:55:00+00:00,-68.904,188.829,119.925
2024-04-01T07:00:00-05:00,2024-04-01 12:00:00+00:00,-150.818,126.917,-23.901
2024-04-01T07:05:00-05:00,2024-04-01 12:05:00+00:00,-97.92,124.554,26.634
2024-04-01T07:10:00-05:00,2024-04-01 12:10:00+00:00,-24.558,216.472,191.914
2024-04-01T07:15:00-05:00,2024-04-01 12:15:00+00:00,-33.145,114.707,81.563
2024-04-01T07:20:00-05:00,2024-04-01 12:20:00+00:00,-27.144,127.562,100.418
2024-04-01T07:25:00-05:00,2024-04-01 12:25:00+00:00,-38.636,80.657,42.022
2024-04-01T07:30:00-05:00,2024-04-01 12:30:00+00:00,-50.813,53.701,2.888
2024-04-01T07:35:00-05:00,2024-04-01 12:35:00+00:00,-49.9,49.783,-0.116
2024-04-01T07:40:00-05:00,2024-04-01 12:40:00+00:00,-67.579,36.239,-31.34
2024-04-01T07:45:00-05:00,2024-04-01 12:45:00+00:00,-45.682,111.121,65.439
2024-04-01T07:50:00-05:00,2024-04-01 12:50:00+00:00,-52.855,151.835,98.98
2024-04-01T07:55:00-05:00,2024-04-01 12:55:00+00:00,-126.404,97.932,-28.472
2024-04-01T08:00:00-05:00,2024-04-01 13:00:00+00:00,-115.733,107.838,-7.895
2024-04-01T08:05:00-05:00,2024-04-01 13:05:00+00:00,-54.403,299.452,245.049
2024-04-01T08:10:00-05:00,2024-04-01 13:10:00+00:00,-12.557,413.553,400.996
2024-04-01T08:15:00-05:00,2024-04-01 13:15:00+00:00,-55.527,186.739,131.212
2024-04-01T08:20:00-05:00,2024-04-01 13:20:00+00:00,-224.807,52.414,-172.392
2024-04-01T08:25:00-05:00,2024-04-01 13:25:00+00:00,-342.475,35.835,-306.641
2024-04-01T08:30:00-05:00,2024-04-01 13:30:00+00:00,-138.334,62.4,-75.934
2024-04-01T08:35:00-05:00,2024-04-01 13:35:00+00:00,-44.3,78.378,34.078
2024-04-01T08:40:00-05:00,2024-04-01 13:40:00+00:00,-32.293,192.211,159.918
2024-04-01T08:45:00-05:00,2024-04-01 13:45:00+00:00,-40.201,297.739,257.538
2024-04-01T08:50:00-05:00,2024-04-01 13:50:00+00:00,-38.608,256.215,217.608
2024-04-01T08:55:00-05:00,2024-04-01 13:55:00+00:00,-166.791,94.407,-72.384
2024-04-01T09:00:00-05:00,2024-04-01 14:00:00+00:00,-350.391,21.638,-328.752
2024-04-01T09:05:00-05:00,2024-04-01 14:05:00+00:00,-345.65,45.668,-299.983
2024-04-01T09:10:00-05:00,2024-04-01 14:10:00+00:00,-119.464,67.209,-52.256
2024-04-01T09:15:00-05:00,2024-04-01 14:15:00+00:00,-86.246,85.161,-1.084
2024-04-01T09:20:00-05:00,2024-04-01 14:20:00+00:00,-82.389,59.417,-22.972
2024-04-01T09:25:00-05:00,2024-04-01 14:25:00+00:00,-60.672,35.773,-24.9
2024-04-01T09:30:00-05:00,2024-04-01 14:30:00+00:00,-30.178,188.979,158.801
2024-04-01T09:35:00-05:00,2024-04-01 14:35:00+00:00,-37.605,286.853,249.248
2024-04-01T09:40:00-05:00,2024-04-01 14:40:00+00:00,-59.771,149.671,89.9
2024-04-01T09:45:00-05:00,2024-04-01 14:45:00+00:00,-125.415,72.002,-53.413
2024-04-01T09:50:00-05:00,2024-04-01 14:50:00+00:00,-167.725,31.614,-136.111
2024-04-01T09:55:00-05:00,2024-04-01 14:55:00+00:00,-266.939,12.261,-254.678
2024-04-01T10:00:00-05:00,2024-04-01 15:00:00+00:00,-261.993,49.378,-212.615
2024-04-01T10:05:00-05:00,2024-04-01 15:05:00+00:00,-62.703,275.237,212.534
2024-04-01T10:10:00-05:00,2024-04-01 15:10:00+00:00,-73.697,244.451,170.754
2024-04-01T10:15:00-05:00,2024-04-01 15:15:00+00:00,-102.811,409.687,306.877
2024-04-01T10:20:00-05:00,2024-04-01 15:20:00+00:00,-190.878,399.429,208.551
2024-04-01T10:25:00-05:00,2024-04-01 15:25:00+00:00,-287.943,316.575,28.632
2024-04-01T10:30:00-05:00,2024-04-01 15:30:00+00:00,-233.271,375.004,141.734
2024-04-01T10:35:00-05:00,2024-04-01 15:35:00+00:00,-86.605,521.575,434.971
2024-04-01T10:40:00-05:00,2024-04-01 15:40:00+00:00,-77.287,465.176,387.889
2024-04-01T10:45:00-05:00,2024-04-01 15:45:00+00:00,-236.187,356.799,120.612
2024-04-01T10:50:00-05:00,2024-04-01 15:50:00+00:00,-266.798,316.761,49.962
2024-04-01T10:55:00-05:00,2024-04-01 15:55:00+00:00,-107.748,408.858,301.11
2024-04-01T11:00:00-05:00,2024-04-01 16:00:00+00:00,-156.299,378.941,222.641
2024-04-01T11:05:00-05:00,2024-04-01 16:05:00+00:00,-246.016,259.107,13.09
2024-04-01T11:10:00-05:00,2024-04-01 16:10:00+00:00,-100.052,361.48,261.427
2024-04-01T11:15:00-05:00,2024-04-01 16:15:00+00:00,-80.958,386.607,305.65
2024-04-01T11:20:00-05:00,2024-04-01 16:20:00+00:00,-62.556,363.101,300.544
2024-04-01T11:25:00-05:00,2024-04-01 16:25:00+00:00,-161.491,251.895,90.404
2024-04-01T11:30:00-05:00,2024-04-01 16:30:00+00:00,-251.861,237.995,-13.866
2024-04-01T11:35:00-05:00,2024-04-01 16:35:00+00:00,-146.65,202.541,55.891
2024-04-01T11:40:00-05:00,2024-04-01 16:40:00+00:00,-130.444,241.35,110.905
2024-04-01T11:45:00-05:00,2024-04-01 16:45:00+00:00,-136.25,196.385,60.136
2024-04-01T11:50:00-05:00,2024-04-01 16:50:00+00:00,-137.675,60.34,-77.336
2024-04-01T11:55:00-05:00,2024-04-01 16:55:00+00:00,-253.888,25.86,-228.028
