time_local,time_utc,total_charging,total_discharging,net_output
2024-05-01T00:00:00-05:00,2024-05-01 05:00:00+00:00,-147.742,55.706,-92.036
2024-05-01T00:05:00-05:00,2024-05-01 05:05:00+00:00,-154.713,105.808,-48.905
2024-05-01T00:10:00-05:00,2024-05-01 05:10:00+00:00,-214.273,109.245,-105.028
2024-05-01T00:15:00-05:00,2024-05-01 05:15:00+00:00,-106.457,145.643,39.186
2024-05-01T00:20:00-05:00,2024-05-01 05:20:00+00:00,-55.404,156.402,100.999
2024-05-01T00:25:00-05:00,2024-05-01 05:25:00+00:00,-85.974,134.475,48.501
2024-05-01T00:30:00-05:00,2024-05-01 05:30:00+00:00,-34.42,289.437,255.017
2024-05-01T00:35:00-05:00,2024-05-01 05:35:00+00:00,-13.639,510.052,496.413
2024-05-01T00:40:00-05:00,2024-05-01 05:40:00+00:00,-20.537,297.014,276.477
2024-05-01T00:45:00-05:00,2024-05-01 05:45:00+00:00,-55.3,125.363,70.063
2024-05-01T00:50:00-05:00,2024-05-01 05:50:00+00:00,-45.194,142.907,97.713
2024-05-01T00:55:00-05:00,2024-05-01 05:55:00+00:00,-96.161,80.829,-15.332
2024-05-01T01:00:00-05:00,2024-05-01 06:00:00+00:00,-98.947,71.246,-27.702
2024-05-01T01:05:00-05:00,2024-05-01 06:05:00+00:00,-64.799,82.38,17.581
2024-05-01T01:10:00-05:00,2024-05-01 06:10:00+00:00,-140.279,41.619,-98.66
2024-05-01T01:15:00-05:00,2024-05-01 06:15:00+00:00,-130.773,30.301,-100.473
2024-05-01T01:20:00-05:00,2024-05-01 06:20:00+00:00,-98.184,60.584,-37.6
2024-05-01T01:25:00-05:00,2024-05-01 06:25:00+00:00,-89.508,100.65,11.142
2024-05-01T01:30:00-05:00,2024-05-01 06:30:00+00:00,-94.696,98.499,3.804
2024-05-01T01:35:00-05:00,2024-05-01 06:35:00+00:00,-105.33,23.105,-82.225
2024-05-01T01:40:00-05:00,2024-05-01 06:40:00+00:00,-105.673,15.602,-90.071
