time_local,time_utc,total_charging,total_discharging,net_output
2024-06-01T00:00:00-05:00,2024-06-01 05:00:00+00:00,-228.794,10.043,-218.751
2024-06-01T00:05:00-05:00,2024-06-01 05:05:00+00:00,-207.882,36.467,-171.415
2024-06-01T00:10:00-05:00,2024-06-01 05:10:00+00:00,-264.733,26.279,-238.454
2024-06-01T00:15:00-05:00,2024-06-01 05:15:00+00:00,-232.658,183.848,-48.811
2024-06-01T00:20:00-05:00,2024-06-01 05:20:00+00:00,-245.962,226.083,-19.879
2024-06-01T00:25:00-05:00,2024-06-01 05:25:00+00:00,-298.711,65.624,-233.087
2024-06-01T00:30:00-05:00,2024-06-01 05:30:00+00:00,-367.242,6.801,-360.442
2024-06-01T00:35:00-05:00,2024-06-01 05:35:00+00:00,-287.269,82.186,-205.083
2024-06-01T00:40:00-05:00,2024-06-01 05:40:00+00:00,-259.941,143.267,-116.674
2024-06-01T00:45:00-05:00,2024-06-01 05:45:00+00:00,-271.789,61.773,-210.016
2024-06-01T00:50:00-05:00,2024-06-01 05:50:00+00:00,-333.773,38.225,-295.548
2024-06-01T00:55:00-05:00,2024-06-01 05:55:00+00:00,-426.356,7.722,-418.634
2024-06-01T01:00:00-05:00,2024-06-01 06:00:00+00:00,-514.212,0.54,-513.672
2024-06-01T01:05:00-05:00,2024-06-01 06:05:00+00:00,-423.226,0.56,-422.667
2024-06-01T01:10:00-05:00,2024-06-01 06:10:00+00:00,-328.16,0.575,-327.585
2024-06-01T01:15:00-05:00,2024-06-01 06:15:00+00:00,-340.642,3.726,-336.916
2024-06-01T01:20:00-05:00,2024-06-01 06:20:00+00:00,-385.222,0.734,-384.487
2024-06-01T01:25:00-05:00,2024-06-01 06:25:00+00:00,-452.322,3.77,-448.551
2024-06-01T01:30:00-05:00,2024-06-01 06:30:00+00:00,-473.767,9.328,-464.438
2024-06-01T01:35:00-05:00,2024-06-01 06:35:00+00:00,-442.004,35.272,-406.732
2024-06-01T01:40:00-05:00,2024-06-01 06:40:00+00:00,-344.494,56.79,-287.704
2024-06-01T01:45:00-05:00,2024-06-01 06:45:00+00:00,-337.395,33.544,-303.851
2024-06-01T01:50:00-05:00,2024-06-01 06:50:00+00:00,-371.711,1.913,-369.798
2024-06-01T01:55:00-05:00,2024-06-01 06:55:00+00:00,-431.78,0.725,-431.055
2024-06-01T02:00:00-05:00,2024-06-01 07:00:00+00:00,-450.312,0.625,-449.687
2024-06-01T02:05:00-05:00,2024-06-01 07:05:00+00:00,-340.442,0.901,-339.541
2024-06-01T02:10:00-05:00,2024-06-01 07:10:00+00:00,-312.397,2.757,-309.64
2024-06-01T02:15:00-05:00,2024-06-01 07:15:00+00:00,-297.271,3.155,-294.116
2024-06-01T02:20:00-05:00,2024-06-01 07:20:00+00:00,-267.935,32.519,-235.415
2024-06-01T02:25:00-05:00,2024-06-01 07:25:00+00:00,-260.225,50.188,-210.037
2024-06-01T02:30:00-05:00,2024-06-01 07:30:00+00:00,-261.022,64.838,-196.185
2024-06-01T02:35:00-05:00,2024-06-01 07:35:00+00:00,-283.307,105.293,-178.014
2024-06-01T02:40:00-05:00,2024-06-01 07:40:00+00:00,-328.486,106.978,-221.508
2024-06-01T02:45:00-05:00,2024-06-01 07:45:00+00:00,-289.607,77.578,-212.028
2024-06-01T02:50:00-05:00,2024-06-01 07:50:00+00:00,-179.827,124.6,-55.227
2024-06-01T02:55:00-05:00,2024-06-01 07:55:00+00:00,-150.711,165.052,14.341
2024-06-01T03:00:00-05:00,2024-06-01 08:00:00+00:00,-178.884,123.41,-55.475
2024-06-01T03:05:00-05:00,2024-06-01 08:05:00+00:00,-213.316,100.022,-113.294
2024-06-01T03:10:00-05:00,2024-06-01 08:10:00+00:00,-198.615,48.482,-150.133
2024-06-01T03:15:00-05:00,2024-06-01 08:15:00+00:00,-213.793,16.175,-197.617
2024-06-01T03:20:00-05:00,2024-06-01 08:20:00+00:00,-286.016,37.767,-248.249
2024-06-01T03:25:00-05:00,2024-06-01 08:25:00+00:00,-275.577,20.704,-254.874
2024-06-01T03:30:00-05:00,2024-06-01 08:30:00+00:00,-253.568,34.096,-219.472
2024-06-01T03:35:00-05:00,2024-06-01 08:35:00+00:00,-198.149,119.707,-78.443
2024-06-01T03:40:00-05:00,2024-06-01 08:40:00+00:00,-123.546,121.925,-1.621
2024-06-01T03:45:00-05:00,2024-06-01 08:45:00+00:00,-140.89,54.512,-86.378
2024-06-01T03:50:00-05:00,2024-06-01 08:50:00+00:00,-212.235,5.914,-206.32
2024-06-01T03:55:00-05:00,2024-06-01 08:55:00+00:00,-219.517,11.025,-208.492
2024-06-01T04:00:00-05:00,2024-06-01 09:00:00+00:00,-182.79,10.353,-172.437
2024-06-01T04:05:00-05:00,2024-06-01 09:05:00+00:00,-144.752,20.304,-124.448
2024-06-01T04:10:00-05:00,2024-06-01 09:10:00+00:00,-93.145,48.352,-44.793
2024-06-01T04:15:00-05:00,2024-06-01 09:15:00+00:00,-58.497,105.083,46.587
2024-06-01T04:20:00-05:00,2024-06-01 09:20:00+00:00,-73.272,44.899,-28.373
2024-06-01T04:25:00-05:00,2024-06-01 09:25:00+00:00,-88.144,7.099,-81.046
2024-06-01T04:30:00-05:00,2024-06-01 09:30:00+00:00,-80.774,157.158,76.384
2024-06-01T04:35:00-05:00,2024-06-01 09:35:00+00:00,-55.82,274.295,218.475
2024-06-01T04:40:00-05:00,2024-06-01 09:40:00+00:00,-33.229,184.858,151.629
2024-06-01T04:45:00-05:00,2024-06-01 09:45:00+00:00,-47.758,163.066,115.309
2024-06-01T04:50:00-05:00,2024-06-01 09:50:00+00:00,-121.958,141.166,19.208
2024-06-01T04:55:00-05:00,2024-06-01 09:55:00+00:00,-268.638,77.426,-191.212
2024-06-01T05:00:00-05:00,2024-06-01 10:00:00+00:00,-315.493,28.061,-287.432
2024-06-01T05:05:00-05:00,2024-06-01 10:05:00+00:00,-233.403,59.209,-174.194
2024-06-01T05:10:00-05:00,2024-06-01 10:10:00+00:00,-110.946,173.251,62.305
2024-06-01T05:15:00-05:00,2024-06-01 10:15:00+00:00,-123.127,244.82,121.693
2024-06-01T05:20:00-05:00,2024-06-01 10:20:00+00:00,-61.812,367.399,305.587
2024-06-01T05:25:00-05:00,2024-06-01 10:25:00+00:00,-42.793,242.269,199.476
2024-06-01T05:30:00-05:00,2024-06-01 10:30:00+00:00,-115.488,62.518,-52.969
2024-06-01T05:35:00-05:00,2024-06-01 10:35:00+00:00,-149.198,119.144,-30.054
2024-06-01T05:40:00-05:00,2024-06-01 10:40:00+00:00,-318.038,143.434,-174.605
2024-06-01T05:45:00-05:00,2024-06-01 10:45:00+00:00,-439.325,68.976,-370.349
2024-06-01T05:50:00-05:00,2024-06-01 10:50:00+00:00,-444.295,4.287,-440.008
2024-06-01T05:55:00-05:00,2024-06-01 10:55:00+00:00,-274.621,12.758,-261.862
2024-06-01T06:00:00-05:00,2024-06-01 11:00:00+00:00,-58.451,245.398,186.947
2024-06-01T06:05:00-05:00,2024-06-01 11:05:00+00:00,-36.221,290.969,254.748
2024-06-01T06:10:00-05:00,2024-06-01 11:10:00+00:00,-122.323,170.078,47.755
2024-06-01T06:15:00-05:00,2024-06-01 11:15:00+00:00,-166.604,152.191,-14.413
2024-06-01T06:20:00-05:00,2024-06-01 11:20:00+00:00,-109.114,87.351,-21.763
2024-06-01T06:25:00-05:00,2024-06-01 11:25:00+00:00,-51.851,23.168,-28.683
2024-06-01T06:30:00-05:00,2024-06-01 11:30:00+00:00,-30.382,109.102,78.721
2024-06-01T06:35:00-05:00,2024-06-01 11:35:00+00:00,-32.347,194.135,161.787
2024-06-01T06:40:00-05:00,2024-06-01 11:40:00+00:00,-103.114,44.901,-58.214
2024-06-01T06:45:00-05:00,2024-06-01 11:45:00+00:00,-142.802,59.828,-82.974
2024-06-01T06:50:00-05:00,2024-06-01 11:50:00+00:00,-58.557,253.035,194.479
2024-06-01T06:55:00-05:00,2024-06-01 11:55:00+00:00,-123.359,158.796,35.437
2024-06-01T07:00:00-05:00,2024-06-01 12:00:00+00:00,-297.129,48.43,-248.699
2024-06-01T07:05:00-05:00,2024-06-01 12:05:00+00:00,-284.032,53.022,-231.01
2024-06-01T07:10:00-05:00,2024-06-01 12:10:00+00:00,-79.494,119.503,40.009
2024-06-01T07:15:00-05:00,2024-06-01 12:15:00+00:00,-28.043,164.383,136.34
2024-06-01T07:20:00-05:00,2024-06-01 12:20:00+00:00,-91.491,29.184,-62.306
2024-06-01T07:25:00-05:00,2024-06-01 12:25:00+00:00,-91.836,22.711,-69.125
2024-06-01T07:30:00-05:00,2024-06-01 12:30:00+00:00,-54.308,192.593,138.285
2024-06-01T07:35:00-05:00,2024-06-01 12:35:00+00:00,-77.895,203.724,125.828
2024-06-01T07:40:00-05:00,2024-06-01 12:40:00+00:00,-88.321,231.129,142.808
2024-06-01T07:45:00-05:00,2024-06-01 12:45:00+00:00,-67.581,195.475,127.894
2024-06-01T07:50:00-05:00,2024-06-01 12:50:00+00:00,-119.593,110.358,-9.235
2024-06-01T07:55:00-05:00,2024-06-01 12:55:00+00:00,-178.756,107.354,-71.402
2024-06-01T08:00:00-05:00,2024-06-01 13:00:00+00:00,-135.433,111.368,-24.064
2024-06-01T08:05:00-05:00,2024-06-01 13:05:00+00:00,-78.98,154.313,75.333
2024-06-01T08:10:00-05:00,2024-06-01 13:10:00+00:00,-95.068,236.318,141.25
2024-06-01T08:15:00-05:00,2024-06-01 13:15:00+00:00,-130.432,378.907,248.475
2024-06-01T08:20:00-05:00,2024-06-01 13:20:00+00:00,-177.206,228.233,51.027
2024-06-01T08:25:00-05:00,2024-06-01 13:25:00+00:00,-172.599,202.6,30.001
2024-06-01T08:30:00-05:00,2024-06-01 13:30:00+00:00,-196.436,140.995,-55.442
2024-06-01T08:35:00-05:00,2024-06-01 13:35:00+00:00,-311.054,8.367,-302.688
2024-06-01T08:40:00-05:00,2024-06-01 13:40:00+00:00,-397.666,2.606,-395.06
2024-06-01T08:45:00-05:00,2024-06-01 13:45:00+00:00,-441.937,2.856,-439.081
2024-06-01T08:50:00-05:00,2024-06-01 13:50:00+00:00,-449.488,6.978,-442.51
2024-06-01T08:55:00-05:00,2024-06-01 13:55:00+00:00,-262.561,32.93,-229.631
2024-06-01T09:00:00-05:00,2024-06-01 14:00:00+00:00,-191.171,18.66,-172.511
2024-06-01T09:05:00-05:00,2024-06-01 14:05:00+00:00,-190.066,80.946,-109.12
2024-06-01T09:10:00-05:00,2024-06-01 14:10:00+00:00,-263.653,115.203,-148.45
