time_local,time_utc,total_charging,total_discharging,net_output
2024-06-22T00:00:00-05:00,2024-06-22 05:00:00+00:00,-162.076,203.991,41.916
2024-06-22T00:05:00-05:00,2024-06-22 05:05:00+00:00,-146.333,217.625,71.292
2024-06-22T00:10:00-05:00,2024-06-22 05:10:00+00:00,-284.911,83.537,-201.374
2024-06-22T00:15:00-05:00,2024-06-22 05:15:00+00:00,-349.412,55.803,-293.609
2024-06-22T00:20:00-05:00,2024-06-22 05:20:00+00:00,-207.785,54.247,-153.537
2024-06-22T00:25:00-05:00,2024-06-22 05:25:00+00:00,-180.314,100.134,-80.18
2024-06-22T00:30:00-05:00,2024-06-22 05:30:00+00:00,-199.578,96.658,-102.92
2024-06-22T00:35:00-05:00,2024-06-22 05:35:00+00:00,-436.465,39.424,-397.041
2024-06-22T00:40:00-05:00,2024-06-22 05:40:00+00:00,-546.428,26.041,-520.387
2024-06-22T00:45:00-05:00,2024-06-22 05:45:00+00:00,-270.823,75.301,-195.522
2024-06-22T00:50:00-05:00,2024-06-22 05:50:00+00:00,-301.788,80.296,-221.493
2024-06-22T00:55:00-05:00,2024-06-22 05:55:00+00:00,-276.068,79.264,-196.805
2024-06-22T01:00:00-05:00,2024-06-22 06:00:00+00:00,-275.295,57.653,-217.642
2024-06-22T01:05:00-05:00,2024-06-22 06:05:00+00:00,-323.682,40.012,-283.67
2024-06-22T01:10:00-05:00,2024-06-22 06:10:00+00:00,-358.286,20.513,-337.773
2024-06-22T01:15:00-05:00,2024-06-22 06:15:00+00:00,-281.465,44.123,-237.342
2024-06-22T01:20:00-05:00,2024-06-22 06:20:00+00:00,-387.819,23.399,-364.42
2024-06-22T01:25:00-05:00,2024-06-22 06:25:00+00:00,-382.086,64.739,-317.346
2024-06-22T01:30:00-05:00,2024-06-22 06:30:00+00:00,-283.86,162.527,-121.333
2024-06-22T01:35:00-05:00,2024-06-22 06:35:00+00:00,-298.47,214.584,-83.886
2024-06-22T01:40:00-05:00,2024-06-22 06:40:00+00:00,-301.169,93.056,-208.113
2024-06-22T01:45:00-05:00,2024-06-22 06:45:00+00:00,-270.494,83.381,-187.113
2024-06-22T01:50:00-05:00,2024-06-22 06:50:00+00:00,-194.302,82.32,-111.982
2024-06-22T01:55:00-05:00,2024-06-22 06:55:00+00:00,-287.341,59.302,-228.04
2024-06-22T02:00:00-05:00,2024-06-22 07:00:00+00:00,-321.924,83.322,-238.601
2024-06-22T02:05:00-05:00,2024-06-22 07:05:00+00:00,-179.457,102.284,-77.172
2024-06-22T02:10:00-05:00,2024-06-22 07:10:00+00:00,-194.957,114.167,-80.791
2024-06-22T02:15:00-05:00,2024-06-22 07:15:00+00:00,-269.258,46.362,-222.896
2024-06-22T02:20:00-05:00,2024-06-22 07:20:00+00:00,-292.434,29.262,-263.173
2024-06-22T02:25:00-05:00,2024-06-22 07:25:00+00:00,-267.778,21.859,-245.918
2024-06-22T02:30:00-05:00,2024-06-22 07:30:00+00:00,-275.276,7.435,-267.841
2024-06-22T02:35:00-05:00,2024-06-22 07:35:00+00:00,-273.623,9.979,-263.644
2024-06-22T02:40:00-05:00,2024-06-22 07:40:00+00:00,-284.595,11.55,-273.045
2024-06-22T02:45:00-05:00,2024-06-22 07:45:00+00:00,-297.837,9.676,-288.162
2024-06-22T02:50:00-05:00,2024-06-22 07:50:00+00:00,-282.398,3.02,-279.378
2024-06-22T02:55:00-05:00,2024-06-22 07:55:00+00:00,-254.03,3.267,-250.763
2024-06-22T03:00:00-05:00,2024-06-22 08:00:00+00:00,-230.514,3.697,-226.817
2024-06-22T03:05:00-05:00,2024-06-22 08:05:00+00:00,-194.407,40.193,-154.213
2024-06-22T03:10:00-05:00,2024-06-22 08:10:00+00:00,-269.891,50.561,-219.33
2024-06-22T03:15:00-05:00,2024-06-22 08:15:00+00:00,-334.575,94.147,-240.428
2024-06-22T03:20:00-05:00,2024-06-22 08:20:00+00:00,-272.648,136.959,-135.688
2024-06-22T03:25:00-05:00,2024-06-22 08:25:00+00:00,-321.527,69.679,-251.848
2024-06-22T03:30:00-05:00,2024-06-22 08:30:00+00:00,-409.183,19.929,-389.254
2024-06-22T03:35:00-05:00,2024-06-22 08:35:00+00:00,-328.271,20.182,-308.089
2024-06-22T03:40:00-05:00,2024-06-22 08:40:00+00:00,-367.28,33.043,-334.237
2024-06-22T03:45:00-05:00,2024-06-22 08:45:00+00:00,-411.619,34.508,-377.111
2024-06-22T03:50:00-05:00,2024-06-22 08:50:00+00:00,-467.72,40.426,-427.293
2024-06-22T03:55:00-05:00,2024-06-22 08:55:00+00:00,-445.766,53.975,-391.791
2024-06-22T04:00:00-05:00,2024-06-22 09:00:00+00:00,-372.332,147.684,-224.647
2024-06-22T04:05:00-05:00,2024-06-22 09:05:00+00:00,-318.626,113.138,-205.489
2024-06-22T04:10:00-05:00,2024-06-22 09:10:00+00:00,-295.805,51.115,-244.69
2024-06-22T04:15:00-05:00,2024-06-22 09:15:00+00:00,-276.747,65.008,-211.739
2024-06-22T04:20:00-05:00,2024-06-22 09:20:00+00:00,-241.34,73.013,-168.327
2024-06-22T04:25:00-05:00,2024-06-22 09:25:00+00:00,-252.292,59.746,-192.546
2024-06-22T04:30:00-05:00,2024-06-22 09:30:00+00:00,-241.306,82.549,-158.757
2024-06-22T04:35:00-05:00,2024-06-22 09:35:00+00:00,-225.234,100.83,-124.404
2024-06-22T04:40:00-05:00,2024-06-22 09:40:00+00:00,-242.957,55.591,-187.366
2024-06-22T04:45:00-05:00,2024-06-22 09:45:00+00:00,-301.664,26.417,-275.247
2024-06-22T04:50:00-05:00,2024-06-22 09:50:00+00:00,-266.269,33.391,-232.879
2024-06-22T04:55:00-05:00,2024-06-22 09:55:00+00:00,-281.219,74.49,-206.729
2024-06-22T05:00:00-05:00,2024-06-22 10:00:00+00:00,-249.951,107.962,-141.99
2024-06-22T05:05:00-05:00,2024-06-22 10:05:00+00:00,-324.016,42.388,-281.627
2024-06-22T05:10:00-05:00,2024-06-22 10:10:00+00:00,-367.931,49.437,-318.494
2024-06-22T05:15:00-05:00,2024-06-22 10:15:00+00:00,-350.417,32.412,-318.005
2024-06-22T05:20:00-05:00,2024-06-22 10:20:00+00:00,-262.011,39.414,-222.596
2024-06-22T05:25:00-05:00,2024-06-22 10:25:00+00:00,-265.588,14.987,-250.6
2024-06-22T05:30:00-05:00,2024-06-22 10:30:00+00:00,-302.936,11.025,-291.911
2024-06-22T05:35:00-05:00,2024-06-22 10:35:00+00:00,-250.565,24.421,-226.144
2024-06-22T05:40:00-05:00,2024-06-22 10:40:00+00:00,-229.953,25.638,-204.316
2024-06-22T05:45:00-05:00,2024-06-22 10:45:00+00:00,-252.52,21.837,-230.683
2024-06-22T05:50:00-05:00,2024-06-22 10:50:00+00:00,-238.601,45.255,-193.346
2024-06-22T05:55:00-05:00,2024-06-22 10:55:00+00:00,-224.563,81.067,-143.496
2024-06-22T06:00:00-05:00,2024-06-22 11:00:00+00:00,-280.296,20.17,-260.126
2024-06-22T06:05:00-05:00,2024-06-22 11:05:00+00:00,-249.134,111.33,-137.804
2024-06-22T06:10:00-05:00,2024-06-22 11:10:00+00:00,-285.428,153.977,-131.452
2024-06-22T06:15:00-05:00,2024-06-22 11:15:00+00:00,-361.215,17.459,-343.756
2024-06-22T06:20:00-05:00,2024-06-22 11:20:00+00:00,-327.278,13.931,-313.347
2024-06-22T06:25:00-05:00,2024-06-22 11:25:00+00:00,-221.207,111.89,-109.317
2024-06-22T06:30:00-05:00,2024-06-22 11:30:00+00:00,-177.405,134.127,-43.278
2024-06-22T06:35:00-05:00,2024-06-22 11:35:00+00:00,-121.59,140.597,19.007
2024-06-22T06:40:00-05:00,2024-06-22 11:40:00+00:00,-114.654,141.715,27.061
2024-06-22T06:45:00-05:00,2024-06-22 11:45:00+00:00,-167.854,84.297,-83.557
2024-06-22T06:50:00-05:00,2024-06-22 11:50:00+00:00,-269.252,63.853,-205.399
2024-06-22T06:55:00-05:00,2024-06-22 11:55:00+00:00,-259.207,62.96,-196.248
2024-06-22T07:00:00-05:00,2024-06-22 12:00:00+00:00,-210.126,74.902,-135.224
2024-06-22T07:05:00-05:00,2024-06-22 12:05:00+00:00,-144.104,219.845,75.74
2024-06-22T07:10:00-05:00,2024-06-22 12:10:00+00:00,-149.655,302.956,153.301
2024-06-22T07:15:00-05:00,2024-06-22 12:15:00+00:00,-262.826,237.05,-25.776
2024-06-22T07:20:00-05:00,2024-06-22 12:20:00+00:00,-224.488,230.592,6.104
2024-06-22T07:25:00-05:00,2024-06-22 12:25:00+00:00,-163.778,174.293,10.515
2024-06-22T07:30:00-05:00,2024-06-22 12:30:00+00:00,-336.962,80.101,-256.861
2024-06-22T07:35:00-05:00,2024-06-22 12:35:00+00:00,-443.269,72.714,-370.555
2024-06-22T07:40:00-05:00,2024-06-22 12:40:00+00:00,-381.258,77.104,-304.154
2024-06-22T07:45:00-05:00,2024-06-22 12:45:00+00:00,-339.071,126.812,-212.259
2024-06-22T07:50:00-05:00,2024-06-22 12:50:00+00:00,-310.352,138.963,-171.389
2024-06-22T07:55:00-05:00,2024-06-22 12:55:00+00:00,-398.919,54.254,-344.665
2024-06-22T08:00:00-05:00,2024-06-22 13:00:00+00:00,-478.912,24.287,-454.625
2024-06-22T08:05:00-05:00,2024-06-22 13:05:00+00:00,-620.075,14.769,-605.306
2024-06-22T08:10:00-05:00,2024-06-22 13:10:00+00:00,-889.612,17.58,-872.032
2024-06-22T08:15:00-05:00,2024-06-22 13:15:00+00:00,-977.87,31.439,-946.431
2024-06-22T08:20:00-05:00,2024-06-22 13:20:00+00:00,-970.383,44.559,-925.824
2024-06-22T08:25:00-05:00,2024-06-22 13:25:00+00:00,-961.97,40.882,-921.088
2024-06-22T08:30:00-05:00,2024-06-22 13:30:00+00:00,-933.47,27.56,-905.91
2024-06-22T08:35:00-05:00,2024-06-22 13:35:00+00:00,-880.825,114.265,-766.559
2024-06-22T08:40:00-05:00,2024-06-22 13:40:00+00:00,-829.784,196.83,-632.954
2024-06-22T08:45:00-05:00,2024-06-22 13:45:00+00:00,-882.273,72.439,-809.834
2024-06-22T08:50:00-05:00,2024-06-22 13:50:00+00:00,-710.079,36.121,-673.958
2024-06-22T08:55:00-05:00,2024-06-22 13:55:00+00:00,-571.555,38.848,-532.707
2024-06-22T09:00:00-05:00,2024-06-22 14:00:00+00:00,-732.492,19.955,-712.537
2024-06-22T09:05:00-05:00,2024-06-22 14:05:00+00:00,-765.501,32.368,-733.133
2024-06-22T09:10:00-05:00,2024-06-22 14:10:00+00:00,-682.003,32.648,-649.354
2024-06-22T09:15:00-05:00,2024-06-22 14:15:00+00:00,-658.749,124.881,-533.867
2024-06-22T09:20:00-05:00,2024-06-22 14:20:00+00:00,-678.01,104.566,-573.443
2024-06-22T09:25:00-05:00,2024-06-22 14:25:00+00:00,-706.102,12.462,-693.64
2024-06-22T09:30:00-05:00,2024-06-22 14:30:00+00:00,-750.648,6.219,-744.429
2024-06-22T09:35:00-05:00,2024-06-22 14:35:00+00:00,-629.779,30.567,-599.212
2024-06-22T09:40:00-05:00,2024-06-22 14:40:00+00:00,-550.484,75.694,-474.79
2024-06-22T09:45:00-05:00,2024-06-22 14:45:00+00:00,-520.118,91.03,-429.088
2024-06-22T09:50:00-05:00,2024-06-22 14:50:00+00:00,-658.734,47.822,-610.912
2024-06-22T09:55:00-05:00,2024-06-22 14:55:00+00:00,-872.076,26.72,-845.356
2024-06-22T10:00:00-05:00,2024-06-22 15:00:00+00:00,-834.513,31.13,-803.383
2024-06-22T10:05:00-05:00,2024-06-22 15:05:00+00:00,-649.683,29.054,-620.629
