time_local,time_utc,total_charging,total_discharging,net_output
2024-12-12T00:00:00-06:00,2024-12-12 06:00:00+00:00,-301.69,33.9,-267.79
2024-12-12T00:05:00-06:00,2024-12-12 06:05:00+00:00,-328.367,123.621,-204.746
2024-12-12T00:10:00-06:00,2024-12-12 06:10:00+00:00,-317.593,210.371,-107.223
2024-12-12T00:15:00-06:00,2024-12-12 06:15:00+00:00,-258.558,201.271,-57.287
2024-12-12T00:20:00-06:00,2024-12-12 06:20:00+00:00,-339.738,143.349,-196.388
2024-12-12T00:25:00-06:00,2024-12-12 06:25:00+00:00,-399.764,144.325,-255.438
2024-12-12T00:30:00-06:00,2024-12-12 06:30:00+00:00,-373.911,134.49,-239.421
2024-12-12T00:35:00-06:00,2024-12-12 06:35:00+00:00,-421.154,80.072,-341.082
2024-12-12T00:40:00-06:00,2024-12-12 06:40:00+00:00,-413.078,90.782,-322.296
2024-12-12T00:45:00-06:00,2024-12-12 06:45:00+00:00,-465.425,50.439,-414.986
2024-12-12T00:50:00-06:00,2024-12-12 06:50:00+00:00,-645.792,4.72,-641.072
2024-12-12T00:55:00-06:00,2024-12-12 06:55:00+00:00,-542.36,14.946,-527.414
2024-12-12T01:00:00-06:00,2024-12-12 07:00:00+00:00,-493.63,52.291,-441.339
2024-12-12T01:05:00-06:00,2024-12-12 07:05:00+00:00,-601.167,87.564,-513.603
2024-12-12T01:10:00-06:00,2024-12-12 07:10:00+00:00,-692.408,166.929,-525.478
2024-12-12T01:15:00-06:00,2024-12-12 07:15:00+00:00,-706.88,138.168,-568.711
2024-12-12T01:20:00-06:00,2024-12-12 07:20:00+00:00,-725.057,57.052,-668.005
2024-12-12T01:25:00-06:00,2024-12-12 07:25:00+00:00,-715.323,72.515,-642.808
2024-12-12T01:30:00-06:00,2024-12-12 07:30:00+00:00,-770.609,62.407,-708.202
2024-12-12T01:35:00-06:00,2024-12-12 07:35:00+00:00,-807.142,109.28,-697.862
2024-12-12T01:40:00-06:00,2024-12-12 07:40:00+00:00,-880.958,82.37,-798.588
2024-12-12T01:45:00-06:00,2024-12-12 07:45:00+00:00,-902.755,152.405,-750.35
2024-12-12T01:50:00-06:00,2024-12-12 07:50:00+00:00,-880.779,232.712,-648.067
2024-12-12T01:55:00-06:00,2024-12-12 07:55:00+00:00,-835.593,167.974,-667.619
2024-12-12T02:00:00-06:00,2024-12-12 08:00:00+00:00,-755.169,136.624,-618.544
2024-12-12T02:05:00-06:00,2024-12-12 08:05:00+00:00,-653.025,209.762,-443.263
2024-12-12T02:10:00-06:00,2024-12-12 08:10:00+00:00,-648.933,106.876,-542.057
2024-12-12T02:15:00-06:00,2024-12-12 08:15:00+00:00,-665.184,73.096,-592.088
2024-12-12T02:20:00-06:00,2024-12-12 08:20:00+00:00,-692.441,89.485,-602.956
2024-12-12T02:25:00-06:00,2024-12-12 08:25:00+00:00,-969.688,28.371,-941.317
2024-12-12T02:30:00-06:00,2024-12-12 08:30:00+00:00,-1039.255,24.292,-1014.964
2024-12-12T02:35:00-06:00,2024-12-12 08:35:00+00:00,-1076.298,13.914,-1062.383
2024-12-12T02:40:00-06:00,2024-12-12 08:40:00+00:00,-1049.453,65.148,-984.305
2024-12-12T02:45:00-06:00,2024-12-12 08:45:00+00:00,-1134.012,57.792,-1076.22
2024-12-12T02:50:00-06:00,2024-12-12 08:50:00+00:00,-1174.468,56.452,-1118.016
2024-12-12T02:55:00-06:00,2024-12-12 08:55:00+00:00,-1073.523,73.276,-1000.247
2024-12-12T03:00:00-06:00,2024-12-12 09:00:00+00:00,-1078.388,87.291,-991.097
2024-12-12T03:05:00-06:00,2024-12-12 09:05:00+00:00,-813.013,106.604,-706.41
