time_local,time_utc,total_charging,total_discharging,net_output
2024-03-01T00:00:00-06:00,2024-03-01 06:00:00+00:00,-226.37,51.36,-175.01
2024-03-01T00:05:00-06:00,2024-03-01 06:05:00+00:00,-212.964,54.159,-158.805
2024-03-01T00:10:00-06:00,2024-03-01 06:10:00+00:00,-238.585,14.026,-224.56
2024-03-01T00:15:00-06:00,2024-03-01 06:15:00+00:00,-194.209,33.128,-161.081
2024-03-01T00:20:00-06:00,2024-03-01 06:20:00+00:00,-170.706,52.348,-118.358
2024-03-01T00:25:00-06:00,2024-03-01 06:25:00+00:00,-192.885,42.833,-150.052
2024-03-01T00:30:00-06:00,2024-03-01 06:30:00+00:00,-278.954,14.669,-264.285
2024-03-01T00:35:00-06:00,2024-03-01 06:35:00+00:00,-301.169,24.883,-276.286
2024-03-01T00:40:00-06:00,2024-03-01 06:40:00+00:00,-191.981,49.736,-142.245
2024-03-01T00:45:00-06:00,2024-03-01 06:45:00+00:00,-169.103,92.203,-76.899
2024-03-01T00:50:00-06:00,2024-03-01 06:50:00+00:00,-195.067,45.619,-149.448
2024-03-01T00:55:00-06:00,2024-03-01 06:55:00+00:00,-185.143,42.837,-142.306
2024-03-01T01:00:00-06:00,2024-03-01 07:00:00+00:00,-152.971,76.808,-76.162
2024-03-01T01:05:00-06:00,2024-03-01 07:05:00+00:00,-161.563,42.047,-119.515
2024-03-01T01:10:00-06:00,2024-03-01 07:10:00+00:00,-225.307,37.836,-187.47
2024-03-01T01:15:00-06:00,2024-03-01 07:15:00+00:00,-270.658,30.032,-240.626
2024-03-01T01:20:00-06:00,2024-03-01 07:20:00+00:00,-231.602,4.764,-226.838
2024-03-01T01:25:00-06:00,2024-03-01 07:25:00+00:00,-222.038,7.947,-214.091
2024-03-01T01:30:00-06:00,2024-03-01 07:30:00+00:00,-199.433,20.384,-179.049
2024-03-01T01:35:00-06:00,2024-03-01 07:35:00+00:00,-204.691,27.416,-177.274
2024-03-01T01:40:00-06:00,2024-03-01 07:40:00+00:00,-200.798,32.333,-168.466
2024-03-01T01:45:00-06:00,2024-03-01 07:45:00+00:00,-252.353,29.651,-222.702
2024-03-01T01:50:00-06:00,2024-03-01 07:50:00+00:00,-236.399,65.435,-170.964
2024-03-01T01:55:00-06:00,2024-03-01 07:55:00+00:00,-172.803,56.875,-115.928
2024-03-01T02:00:00-06:00,2024-03-01 08:00:00+00:00,-182.304,37.086,-145.218
2024-03-01T02:05:00-06:00,2024-03-01 08:05:00+00:00,-206.267,49.648,-156.619
2024-03-01T02:10:00-06:00,2024-03-01 08:10:00+00:00,-247.756,15.378,-232.378
